flight_date,flight_datetime,flight_phase,flight_number,departure,destination,ALTITUDE_STANDARD,flight_phase_name
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-254,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-254,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-256,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-254,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-256,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-255,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-254,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-253,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-254,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-254,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-255,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-255,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-254,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-254,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-254,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-255,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-254,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-255,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-255,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-254,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-255,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-255,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-256,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-256,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-256,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-255,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-255,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-254,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-255,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-254,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-255,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-255,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-255,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-253,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-254,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-255,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-253,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-253,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-255,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-257,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-256,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-256,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-257,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-256,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-256,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-257,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-256,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-257,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-256,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-257,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-257,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-257,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-257,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-257,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-257,Taxi out and takeoff
11/23/2001,11/23/2001 6:01,1,TEST0996,ABCD,UVWL,-257,Taxi out and takeoff
11/23/2001,11/23/2001 6:02,1,TEST0996,ABCD,UVWL,-257,Taxi out and takeoff
11/23/2001,11/23/2001 6:02,1,TEST0996,ABCD,UVWL,-257,Taxi out and takeoff
11/23/2001,11/23/2001 6:02,1,TEST0996,ABCD,UVWL,-257,Taxi out and takeoff
11/23/2001,11/23/2001 6:02,1,TEST0996,ABCD,UVWL,-257,Taxi out and takeoff
11/23/2001,11/23/2001 6:02,1,TEST0996,ABCD,UVWL,-257,Taxi out and takeoff
11/23/2001,11/23/2001 6:02,1,TEST0996,ABCD,UVWL,-257,Taxi out and takeoff
11/23/2001,11/23/2001 6:02,1,TEST0996,ABCD,UVWL,-257,Taxi out and takeoff
11/23/2001,11/23/2001 6:02,1,TEST0996,ABCD,UVWL,-256,Taxi out and takeoff
11/23/2001,11/23/2001 6:02,1,TEST0996,ABCD,UVWL,-256,Taxi out and takeoff
11/23/2001,11/23/2001 6:02,1,TEST0996,ABCD,UVWL,-256,Taxi out and takeoff
